hip,dist,x0,y0,z0,mag,absmag,vx,vy,vz,spect
219.0,98.0082,97.458,1.174,10.303,8.56,3.604,1.1379484522427622e-05,1.5378206952794478e-05,-8.793098582172436e-06,F
220.0,183.2964,148.625,1.795,107.261,7.52,1.204,1.935954363346409e-06,1.1508343608418984e-05,-1.0451903641521552e-06,A
221.0,148.8095,25.116,0.304,146.674,7.74,1.877,-1.2602623148186896e-05,3.4146635096552166e-05,2.087312654828325e-06,F
222.0,335.9594,253.598,3.074,-220.335,8.85,1.219,-1.3874850949561926e-05,-9.157176634655968e-06,-3.33918890214599e-05,K
224.0,481.4434,480.316,5.837,32.414,9.01,0.597,9.743178668569062e-06,5.556281065008472e-06,1.1728222207531228e-05,K
223.0,42.7876,42.755,0.52,1.59,7.17,4.013,5.6248013726388e-07,1.293908853938656e-05,-1.9351362104194795e-05,F
225.0,164.9505,159.288,1.946,-42.805,9.04,2.953,-1.0196230851856151e-06,1.3838034067850107e-05,-3.165229136057652e-06,F
228.0,96.5474,85.04,1.054,45.701,7.64,2.716,8.841165066629531e-06,1.92020491950302e-05,7.984149875671112e-06,F
229.0,257.8434,175.003,2.182,189.347,8.27,1.213,-1.429926778040649e-05,2.313941015587736e-05,-2.326008771259943e-05,A
230.0,125.6103,108.402,1.355,63.443,8.44,2.945,-2.3824613232180636e-05,3.854113900532106e-05,-3.998722430366856e-06,F
231.0,262.1396,135.857,1.716,-224.181,9.58,2.487,2.350144282604357e-06,9.266911395980357e-05,-1.1977758850244658e-05,F
232.0,229.2105,198.186,2.526,-115.124,8.43,1.629,2.2325347993582724e-06,2.051723002506902e-05,1.9155005401731767e-06,A
233.0,344.2734,110.036,1.406,326.212,8.49,0.805,1.7019626262446345e-05,-1.1980826923720644e-05,-5.68923091563448e-06,K
